PeriodEnd,PeriodStart,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-12-31T01:00:00Z,2021-12-31T00:00:00Z,23.1,-147,1.7,21.2,0,0,0,0,0,0,35.2,89.3,0.0,990.1,292,0.9,160,0.15
2021-12-31T02:00:00Z,2021-12-31T01:00:00Z,22.7,-125,7.9,21.2,0,0,0,0,0,0,35.1,91.3,0.0,989.6,290,1.0,149,0.15
2021-12-31T03:00:00Z,2021-12-31T02:00:00Z,22.2,-117,0.9,21.0,0,0,0,0,0,0,35.0,92.9,0.0,989.3,288,1.1,136,0.15
2021-12-31T04:00:00Z,2021-12-31T03:00:00Z,21.8,-113,0.0,21.0,0,0,0,0,0,0,35.0,94.9,0.0,989.3,284,1.0,123,0.15
2021-12-31T05:00:00Z,2021-12-31T04:00:00Z,21.7,-112,4.4,20.9,0,0,0,0,0,0,35.1,95.5,0.0,989.7,284,0.8,109,0.15
2021-12-31T06:00:00Z,2021-12-31T05:00:00Z,22.8,-113,2.6,21.8,0,0,0,0,0,0,35.4,94.1,0.0,990.3,303,0.7,95,0.15
2021-12-31T07:00:00Z,2021-12-31T06:00:00Z,25.0,-115,14.1,23.3,57,0,0,57,56,57,35.8,90.6,0.0,991.0,332,0.5,82,0.15
2021-12-31T08:00:00Z,2021-12-31T07:00:00Z,26.8,-118,23.0,23.8,188,0,0,188,187,188,36.3,83.9,0.0,992.0,285,0.3,68,0.15
2021-12-31T09:00:00Z,2021-12-31T08:00:00Z,27.8,-124,10.1,23.0,277,220,127,404,419,495,37.0,75.7,0.0,992.5,223,0.7,56,0.15
2021-12-31T10:00:00Z,2021-12-31T09:00:00Z,28.7,-134,5.9,22.0,347,290,204,550,570,617,37.2,67.4,0.0,992.6,208,1.0,44,0.15
2021-12-31T11:00:00Z,2021-12-31T10:00:00Z,29.7,-151,17.5,21.1,479,122,100,579,587,587,37.4,60.0,0.0,992.1,192,1.0,35,0.15
2021-12-31T12:00:00Z,2021-12-31T11:00:00Z,31.5,-175,7.6,20.2,418,328,283,701,723,702,38.0,51.3,0.0,991.0,183,1.1,31,0.15
