FID,osm_id,power_substation,tags,geom
all_transmission_substations.3114602,564813837,substation,{},POINT (966398.5541945479 1049785.157440302)
all_transmission_substations.3114625,564466620,substation,{},POINT (971604.6189806585 1051695.1962917394)
all_transmission_substations.3117563,564468439,substation,{},POINT (987827.7545615406 1060272.2996677714)
all_transmission_substations.3128584,564469422,substation,{},POINT (990150.6160777707 1067457.0150056183)
all_transmission_substations.3130639,574213499,substation,{},POINT (986807.4233912264 1094420.3089354825)
all_transmission_substations.3130640,564473371,substation,{},POINT (986803.0214791093 1094470.13533859)
all_transmission_substations.3134247,564739788,substation,{},POINT (1049143.3212261735 1044689.0337219619)
all_transmission_substations.3224590,564408984,substation,{},POINT (987946.6897322644 1102486.6321317053)
all_transmission_substations.3227190,266617120,substation,"{""fixme"":""name,operator"",""substation"":""transmission""}",POINT (984745.7532731903 1117481.045341839)
all_transmission_substations.3308840,266669865,substation,"{""substation"":""transmission""}",POINT (1096454.844192998 1151150.8954391642)
all_transmission_substations.3329950,266712817,substation,"{""substation"":""transmission""}",POINT (1239918.8103910277 1155030.4760803916)
all_transmission_substations.3393741,556545317,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (1266657.1040580731 1002365.7769807732)
all_transmission_substations.3423300,267122040,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (1379472.422834365 1036572.1916178341)
all_transmission_substations.3537159,565147337,substation,{},POINT (1277656.1250697097 1224468.0174548111)
all_transmission_substations.3561376,381214691,substation,{},POINT (1357225.3317208942 1188469.3865122343)
all_transmission_substations.3561592,381213231,substation,{},POINT (1357258.9318893608 1188741.7326865415)
all_transmission_substations.3566593,380861328,substation,"{""location"":""outdoor""}",POINT (1356525.4407684717 1190435.5518790379)
all_transmission_substations.3626237,564458980,substation,{},POINT (1423031.9961326818 1252434.1757554638)
