FID,lga_name,community,lat,lon,power_system,power_kw,status,number_of_connections,fund_type,project,owner,condition,located,geom
minigrids.26,Arewa,Kare,12.8986666,4.062016,Solar Hybrid,100,Existing,535,Equity; Grant,REA;REF,Nayo Tropical Technologies Limited,Operational,Yes,POINT (452181.55271413096 1448157.525865247)
minigrids.27,Kwali,Kigbe,8.6812,7.0945,Solar,20,Existing,,Equity;Grant,Havenhill,Havenhill,Operational,Yes,POINT (789756.1274328792 970105.676503249)
minigrids.29,Balanga,Kolaku,10.0391303,11.7793072,Solar,47,Existing,350,Equity;Grant,BoI;UNDP;GVE,GVE,Operational,Yes,POINT (1311266.479401542 1123313.4044015515)
minigrids.30,Kaltungo,Kolwa,9.7048146,11.5422586,Solar,38,Existing,200,Debt; Grant,BoI;UNDP;IEEE,GVE,Operational,Yes,POINT (1284878.349956283 1085538.1687694453)
minigrids.31,Shendan,Kuka,8.4386827,9.6953462,Solar Hybrid,150,Under Construction,2782,,All On; ElectriFI,GVE,Non Operational,Yes,POINT (1079281.0020484996 942804.6383047344)
minigrids.32,Gudu,Kurdula,13.5756785,4.365783,Solar,80,Existing,800,,EU; NESP,Go Solar,Operational,Yes,POINT (485996.74047393026 1525579.6974868171)
minigrids.33,,Ligun Water Side,7.1000051,4.8416936,Solar,6,Existing,44,Equity;Grant,A4&T Power Solutions,A4&T Power Solutions,Operational,No,POINT (538974.8661290508 792399.5419890336)
minigrids.34,Kauru,Makami,10.5872319,8.0642894,Solar Hybrid,50,Under Construction,320,,ECREE,ACOB,Non Operational,Yes,POINT (897712.589617595 1185329.9910239715)
minigrids.35,Ogbadigbo,Obadoore,6.722,4.555,Solar Hybrid,30,Under Construction,,Equity;Grant,USADF Allon,ACOB,Non Operational,Yes,POINT (507060.2805633607 750012.1521601371)
minigrids.36,Ajaokuta,Obangede,7.4663542,6.6952488,Solar Hybrid,80,Existing,60,Debt; Equity;Grant,REA;REF,New Moon Nigeria Limited,Operational,Maybe,POINT (745311.6871502773 833513.1256274076)
minigrids.37,,Obayantor,6.1684867,5.5614344,Solar,24,Existing,,,,,Operational,Yes,POINT (619096.0454881947 688003.1654146415)
minigrids.38,Ovia North-East,Ofetebe,6.7495122,5.6888295,Solar,4,Existing,33,,PREEEN Project GEF-SGP;UNDP,,Operational,Maybe,POINT (633277.6031497522 753096.0826637631)
minigrids.39,Okha,"Ogbekpen, Ikpoba",6.3501608,5.6502417,Solar,24,Existing,,,BoI;UNDP,,Operational,Maybe,POINT (628982.0289029205 708348.327858424)
minigrids.40,Ijebu Ode,OGD Farm E,6.8299846,3.9164585,Solar,15,Existing,,,,,Non Operational,No,POINT (435978.1659329868 762117.5001214909)
minigrids.41,Anambra West,Okpechalla/Atachile,6.5314661,6.7048381,Solar,27,Existing,100,Equity;Grant,BoI;UNDP;GVE,GVE,Operational,Yes,POINT (746379.1631433408 728659.3479548286)
minigrids.42,Ogbia,Oloibri,4.6701563,6.3132176,Solar Hybrid,67,Existing,,Debt; Equity; Grant,REA-NEP-WB,Renewvia Energy Cooperation,Operational,Yes,POINT (702784.1684991326 520456.0430714429)
minigrids.43,Ijebu Ode,Olooji,6.8915,4.4409,Solar Hybrid,100,Under Construction,,Grant,REA,ACOB,Non Operational,Yes,POINT (494358.7266638486 769014.751759903)
minigrids.44,Ife North,Onibambu & Idi Ita,7.3181257,4.4273379,Solar,24,Existing,,,BoI;UNDP,,Operational,Yes,POINT (492849.00059775996 816874.1061359779)
minigrids.45,Anambra West,Onono-Anam,6.1986552,6.7637532,Solar,40,Existing,200,Debt;Grant,BoI;UNDP;IEEE,GVE,Operational,Yes,POINT (752937.5620753733 691381.1610593861)
minigrids.46,Anambra West,Onono-Anam Phase 2,6.198,6.764,Solar,80,Existing,300,Equity;Grant,BoI;UNDP;GVE,GVE,Operational,Yes,POINT (752965.0357257026 691307.7956433)
minigrids.47,Obeagu Isu,Orie Obeagu Isu,6.2570739,7.7625652,Solar Hybrid,66,Under Construction,100,Debt;Equity; Grant,REA;REF,Zylab Technologies Nigeria Limited,Non Operational,Maybe,POINT (864124.8053135871 697922.9085635259)
minigrids.48,Kagarko,Pakau,7.31667,9.39678,Solar,24,Existing,,,,,Not Operational,Yes,POINT (1046044.7646964162 816710.7277693746)
minigrids.49,Kuje,Rije,8.8840154,7.298122,Biogas,20,,5555,,USADF off-Grid Energy Program,Ajima Farms & General Enterprises Nig. LTD,Operational,Yes,POINT (812423.2247871882 992950.8608279664)
minigrids.50,Edati,Rokota,9.0841238,5.4422846,Solar Hybrid,64,Existing,326,Debt; Equity; Grant,REA-NEP-WB,PowerGen Renewable Energy Nigeria Limited,Operational,Yes,POINT (605832.3504240749 1015503.518486433)
minigrids.51,Karu,Ruguwa,8.8358709,7.7222899,Solar,4,Existing,,,UNDP GEF Energy Efficiency Programme,,Operational,Maybe,POINT (859641.3794260396 987526.7173982228)
minigrids.52,Ibi,Sarkin Kudu,8.3219979,9.6943819,Solar Hybrid,91,Under Construction,380,Debt;Equity;Grant,REA;REF,Gee Dee Global Engineering Ltd,Non Operational,Yes,POINT (1079173.6566635289 929675.1520365565)
minigrids.53,Shendan,Shimankar,8.6282812,9.5257574,Solar Hybrid,150,Under Construction,2296,,"All On, ElectriFI",GVE,Non Operational,Yes,POINT (1060402.4631882575 964146.9305510934)
minigrids.54,Katcha,Swasun,9.3545332,6.207178,Solar,41,Existing,240,Equity;Grant,BoI;UNDP;GVE,GVE,Operational,Yes,POINT (690979.8942232111 1045999.3210420077)
minigrids.55,Gamawa,Tarmasuwa,11.797539,10.777483,Solar,10,Existing,,,REA,,Operational,Yes,POINT (1199743.919593161 1322675.6447449806)
minigrids.56,Yabo,Torankawa,12.656,4.865,Solar,60,Existing,,,,,Operational,Yes,POINT (541569.3227092762 1420458.057219458)
