FID,geom,source
modelled_grid_original.1,"MULTILINESTRING ((590225.2215341241 1543878.960556734, 590225.2215341241 1544356.4509083424, 591152.8839648231 1545311.4570853265, 591152.8839648231 1546266.4972461828, 590689.0527494736 1546744.030077632, 590689.0527494736 1547699.1212567133))",gridfinder
modelled_grid_original.2,"MULTILINESTRING ((589761.3903187747 1543401.4786926091, 588833.7278880789 1544356.4509083424, 588833.7278880789 1544833.949750265, 588369.8966727295 1545311.4570853265, 588369.8966727295 1545788.9729163586))",gridfinder
modelled_grid_original.3,"MULTILINESTRING ((589761.3903187747 1543401.4786926091, 590225.2215341241 1543878.960556734))",gridfinder
modelled_grid_original.4,"MULTILINESTRING ((590225.2215341241 1543878.960556734, 590689.0527494736 1543401.4786926091, 592544.3776108715 1543401.4786926091, 593008.2088262178 1543878.960556734, 595327.3649029651 1543878.960556734, 595791.1961183146 1544356.4509083424, 596718.8585490104 1544356.4509083424, 597182.6897643597 1544833.949750265, 603212.4955638964 1544833.949750265, 604140.1579945954 1545788.9729163586, 604603.9892099447 1545788.9729163586, 605067.8204252942 1546266.4972461828, 607386.9765020384 1546266.4972461828, 607850.8077173879 1546744.030077632, 609242.3013634363 1546744.030077632, 609706.1325787825 1547221.571413533, 611561.4574401804 1547221.571413533, 612025.2886555298 1547699.1212567133, 613880.6135169246 1547699.1212567133, 614344.4447322739 1548176.6796100023, 615735.9383783224 1548176.6796100023, 616199.7695936718 1547699.1212567133, 617127.4320243676 1547699.1212567133, 617591.2632397171 1547221.571413533, 621765.744177859 1547221.571413533, 622229.5753932085 1546744.030077632, 625940.225116001 1546744.030077632, 626404.0563313505 1546266.4972461828, 627795.5499773958 1546266.4972461828, 628259.3811927452 1545788.9729163586, 628723.2124080947 1545788.9729163586, 629187.0436234442 1546266.4972461828, 629650.8748387937 1545788.9729163586, 630114.7060541399 1545788.9729163586))",gridfinder
modelled_grid_original.5,"MULTILINESTRING ((589297.5591034252 1542924.0053131445, 589761.3903187747 1543401.4786926091))",gridfinder
modelled_grid_original.6,"MULTILINESTRING ((579557.103581096 1539581.9289899396, 580020.9347964455 1539581.9289899396, 582803.9220885391 1542446.5404155103, 586978.4030266812 1542446.5404155103, 587442.2342420305 1542924.0053131445, 589297.5591034252 1542924.0053131445))",gridfinder
modelled_grid_original.7,"MULTILINESTRING ((588833.7278880789 1538627.1262413093, 586514.5718113317 1538627.1262413093))",gridfinder
modelled_grid_original.8,"MULTILINESTRING ((588833.7278880789 1538627.1262413093, 589297.5591034252 1539104.5233860111, 589297.5591034252 1540536.7655867815, 589761.3903187747 1541014.1965853467, 589761.3903187747 1542446.5404155103, 589297.5591034252 1542924.0053131445))",gridfinder
modelled_grid_original.9,"MULTILINESTRING ((590225.2215341241 1534330.932138342, 590225.2215341241 1534808.253277056, 589761.3903187747 1535285.5828495857, 589761.3903187747 1535762.9208587562, 588833.7278880789 1536717.6221983084, 588833.7278880789 1537194.985534336, 589297.5591034252 1537672.357318297, 589297.5591034252 1538149.7375530137, 588833.7278880789 1538627.1262413093))",gridfinder
modelled_grid_original.10,"MULTILINESTRING ((589761.3903187747 1533853.6194306258, 588369.8966727295 1533853.6194306258))",gridfinder
modelled_grid_original.11,"MULTILINESTRING ((590225.2215341241 1533853.6194306258, 589761.3903187747 1533853.6194306258))",gridfinder
modelled_grid_original.12,"MULTILINESTRING ((590225.2215341241 1533853.6194306258, 590225.2215341241 1534330.932138342))",gridfinder
modelled_grid_original.13,"MULTILINESTRING ((593008.2088262178 1526217.7604204835, 592544.3776108715 1526694.938615908, 592544.3776108715 1531467.1822582071, 590225.2215341241 1533853.6194306258))",gridfinder
modelled_grid_original.14,"MULTILINESTRING ((593008.2088262178 1526217.7604204835, 600893.3394871523 1526217.7604204835, 601357.1707025018 1525740.5906081158, 605995.4828559932 1525740.5906081158, 607850.8077173879 1527649.3201671867, 608314.6389327374 1527172.1251972024))",gridfinder
modelled_grid_original.15,"MULTILINESTRING ((591152.8839648231 1521923.5335609827, 586978.4030266812 1521923.5335609827, 586514.5718113317 1522400.6364103514, 585586.909380636 1522400.6364103514, 585123.0781652865 1521923.5335609827, 584659.246949937 1522400.6364103514))",gridfinder
modelled_grid_original.16,"MULTILINESTRING ((591616.7151801726 1521923.5335609827, 591152.8839648231 1521923.5335609827))",gridfinder
modelled_grid_original.17,"MULTILINESTRING ((591616.7151801726 1521923.5335609827, 592080.546395522 1522400.6364103514, 592080.546395522 1522877.7476202345, 592544.3776108715 1523354.8671934512, 592544.3776108715 1525740.5906081158, 593008.2088262178 1526217.7604204835))",gridfinder
modelled_grid_original.18,"MULTILINESTRING ((591616.7151801726 1521446.439069316, 591616.7151801726 1521923.5335609827))",gridfinder
modelled_grid_original.19,"MULTILINESTRING ((644957.30494531 1514291.022704163, 644957.30494531 1519061.0918779431, 645421.1361606594 1519538.144623341, 645421.1361606594 1520015.2057123613, 645884.9673760089 1520492.2751478222))",gridfinder
modelled_grid_original.20,"MULTILINESTRING ((652378.604390895 1513814.0615529087, 651914.7731755456 1514291.022704163, 649131.785883452 1514291.022704163, 648667.9546681026 1513814.0615529087, 645421.1361606594 1513814.0615529087, 644957.30494531 1514291.022704163))",gridfinder
modelled_grid_original.21,"MULTILINESTRING ((587906.06545738 1505230.1790932468, 587906.06545738 1511906.3000184156, 588369.8966727295 1512383.2279470856, 588369.8966727295 1513337.1087115211, 589761.3903187747 1514767.9921680903, 589761.3903187747 1515721.9560452206, 590225.2215341241 1516198.9504640508, 590225.2215341241 1518107.0114067607, 591152.8839648231 1519061.0918779431, 591152.8839648231 1520015.2057123613, 591616.7151801726 1520492.2751478222, 591616.7151801726 1521446.439069316))",gridfinder
modelled_grid_original.22,"MULTILINESTRING ((587906.06545738 1505230.1790932468, 588369.8966727295 1504753.3753488034, 589761.3903187747 1506183.811362802))",gridfinder
modelled_grid_original.23,"MULTILINESTRING ((583731.5845192381 1500939.242390691, 587906.06545738 1505230.1790932468))",gridfinder
modelled_grid_original.24,"MULTILINESTRING ((583267.7533038886 1500462.51285351, 582803.9220885391 1500939.242390691, 582340.0908731928 1500939.242390691, 581876.2596578433 1501415.9801618988, 581412.4284424939 1501415.9801618988, 580948.5972271444 1501892.72616994, 580484.7660117949 1501892.72616994, 580020.9347964455 1502369.4804176178, 580020.9347964455 1506660.6398935288, 580948.5972271444 1507614.3217609215, 580948.5972271444 1511906.3000184156, 581412.4284424939 1512383.2279470856, 581412.4284424939 1514291.022704163, 582340.0908731928 1515244.969947506, 582340.0908731928 1516198.9504640508))",gridfinder
modelled_grid_original.25,"MULTILINESTRING ((583267.7533038886 1500462.51285351, 583731.5845192381 1500939.242390691))",gridfinder
modelled_grid_original.26,"MULTILINESTRING ((583731.5845192381 1500939.242390691, 584195.4157345876 1500462.51285351, 585586.909380636 1500462.51285351, 586050.7405959822 1499985.7915475492, 586978.4030266812 1499985.7915475492, 587906.06545738 1500939.242390691, 587906.06545738 1501415.9801618988))",gridfinder
modelled_grid_original.27,"MULTILINESTRING ((600429.5082718028 1499032.3736180658, 600429.5082718028 1499509.0784700012, 600893.3394871523 1499985.7915475492, 600893.3394871523 1500462.51285351, 602284.8331332006 1501892.72616994, 602748.6643485501 1501892.72616994))",gridfinder
modelled_grid_original.28,"MULTILINESTRING ((581876.2596578433 1498555.6769889365, 580948.5972271444 1498555.6769889365, 580484.7660117949 1499032.3736180658))",gridfinder
modelled_grid_original.29,"MULTILINESTRING ((582340.0908731928 1498555.6769889365, 581876.2596578433 1498555.6769889365))",gridfinder
modelled_grid_original.30,"MULTILINESTRING ((582340.0908731928 1498555.6769889365, 582803.9220885391 1499032.3736180658, 582803.9220885391 1499985.7915475492, 583267.7533038886 1500462.51285351))",gridfinder
modelled_grid_original.31,"MULTILINESTRING ((582340.0908731928 1498078.9885798069, 582340.0908731928 1498555.6769889365))",gridfinder
modelled_grid_original.32,"MULTILINESTRING ((603676.3267792459 1497125.6364103332, 602284.8331332006 1498555.6769889365, 600893.3394871523 1498555.6769889365, 600429.5082718028 1499032.3736180658))",gridfinder
modelled_grid_original.33,"MULTILINESTRING ((603676.3267792459 1497125.6364103332, 604140.1579945954 1497602.3083878732, 605531.6516406437 1497602.3083878732, 605995.4828559932 1498078.9885798069, 606459.3140713396 1498078.9885798069, 606923.1452866889 1497602.3083878732, 608778.4701480868 1497602.3083878732, 609242.3013634363 1497125.6364103332, 610169.963794132 1497125.6364103332, 610633.7950094815 1496648.9726443808, 611561.4574401804 1496648.9726443808, 613880.6135169246 1499032.3736180658, 614808.2759476234 1499032.3736180658, 615735.9383783224 1499985.7915475492, 619446.588101115 1499985.7915475492, 620838.0817471602 1501415.9801618988, 621301.9129625096 1501415.9801618988, 623621.0690392538 1503799.7926265434, 625476.3939006516 1503799.7926265434, 625940.225116001 1503323.013643113, 628259.3811927452 1503323.013643113, 628723.2124080947 1503799.7926265434, 629187.0436234442 1503799.7926265434, 629650.8748387937 1504276.5798608374, 629650.8748387937 1504753.3753488034, 630114.7060541399 1505230.1790932468, 630114.7060541399 1506183.811362802, 630578.5372694894 1506660.6398935288, 630578.5372694894 1507137.4766919648, 631506.1997001882 1508091.1751032062, 631506.1997001882 1509044.9066189947, 631970.0309155377 1509521.784798117, 631970.0309155377 1510475.5660128696, 632433.8621308872 1510952.4690541185, 633825.3557769323 1510952.4690541185, 634289.1869922818 1510475.5660128696, 636144.5118536797 1510475.5660128696, 637072.1742843755 1511429.3803883651, 637536.005499725 1511429.3803883651, 637999.8367150744 1511906.3000184156, 638463.6679304239 1511906.3000184156, 638927.4991457734 1512383.2279470856, 639855.1615764722 1512383.2279470856, 640782.824007168 1513337.1087115211, 641710.4864378669 1513337.1087115211, 642174.3176532164 1513814.0615529087, 644493.4737299605 1513814.0615529087, 644957.30494531 1514291.022704163))",gridfinder
modelled_grid_original.34,"MULTILINESTRING ((554046.386736901 1493789.1623350373, 553582.5555215515 1494265.7768903265, 553582.5555215515 1497602.3083878732, 553118.7243062021 1498078.9885798069, 553118.7243062021 1498555.6769889365, 552654.8930908527 1499032.3736180658, 552654.8930908527 1499509.0784700012, 550335.7370141085 1501892.72616994, 549871.905798759 1501892.72616994, 548016.5809373643 1503799.7926265434, 546161.2560759665 1503799.7926265434, 545697.424860617 1503323.013643113, 544305.9312145718 1503323.013643113, 541986.7751378245 1505706.9910969762, 541059.1127071287 1505706.9910969762, 539203.7878457309 1507614.3217609215, 538739.9566303815 1507614.3217609215, 538276.1254150319 1508091.1751032062, 537812.2941996857 1508091.1751032062, 535493.1381229383 1510475.5660128696, 535493.1381229383 1510952.4690541185, 531782.4884001459 1514767.9921680903, 527144.1762466575 1514767.9921680903, 526680.345031308 1514291.022704163, 525752.6826006091 1514291.022704163, 525288.8513852597 1513814.0615529087, 522505.8640931661 1513814.0615529087, 522042.03287781664 1513337.1087115211, 521578.2016624672 1513337.1087115211))",gridfinder
modelled_grid_original.35,"MULTILINESTRING ((865740.9634514479 1493789.1623350373, 865740.9634514479 1494265.7768903265))",openstreetmap
modelled_grid_original.36,"MULTILINESTRING ((866204.7946667973 1493789.1623350373, 865740.9634514479 1493789.1623350373))",openstreetmap
modelled_grid_original.37,"MULTILINESTRING ((868060.119528192 1493789.1623350373, 866204.7946667973 1493789.1623350373))",openstreetmap
modelled_grid_original.38,"MULTILINESTRING ((603676.3267792459 1493312.5559717135, 603676.3267792459 1497125.6364103332))",gridfinder
modelled_grid_original.39,"MULTILINESTRING ((603676.3267792459 1493312.5559717135, 603212.4955638964 1492835.957797557, 603676.3267792459 1492359.3678097648, 604140.1579945954 1492835.957797557, 603676.3267792459 1493312.5559717135))",gridfinder
